EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,DistanceFromHome,BusinessTravel,OverTime,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PercentSalaryHike,StockOptionLevel,Attrition,SoftSkillsScore,TechnicalSkillsScore,LeadershipScore,CommunicationScore,AdaptabilityScore,InnovationScore,TeamworkScore,CultureFitScore,EngagementScore,GrowthPotential,SalaryCompetitiveness
1,56,Male,Divorced,4,Human Resources,Technology,Product Manager,3,10505,3,17,1,0,3,2,4,7,Travel_Rarely,No,4,4,1,1,3,3,22,2,0,7.7,4.5,6.3,7.7,6.9,1.8,8.0,5.7,7.1,5.5,105.0
2,46,Female,Single,4,Other,Technology,Product Manager,1,2335,1,12,1,1,1,0,6,2,Travel_Frequently,No,3,4,4,1,3,4,12,1,1,8.6,5.1,6.2,5.6,3.9,5.2,7.7,6.1,7.8,6.1,77.8
3,32,Female,Divorced,2,Medical,Research & Development,Laboratory Technician,1,1965,11,19,1,0,7,2,5,13,Non-Travel,No,4,4,1,1,3,2,23,1,1,7.5,8.7,4.7,4.6,8.9,8.3,7.8,6.5,7.1,7.5,65.5
4,25,Male,Divorced,4,Medical,Sales,Manager,1,3318,17,21,0,3,2,0,6,12,Travel_Rarely,Yes,3,3,3,4,3,3,13,1,0,5.5,9.1,7.1,8.1,5.8,7.4,5.1,6.8,7.9,7.7,110.6
5,38,Female,Single,2,Marketing,Technology,Software Engineer,2,5451,7,15,1,0,1,5,0,29,Travel_Rarely,Yes,1,2,4,3,2,4,12,2,0,7.6,5.4,8.5,6.8,4.5,5.2,8.1,6.8,5.6,5.7,90.8
6,56,Male,Married,2,Other,Human Resources,HR Analyst,2,5277,3,4,1,0,0,0,4,1,Travel_Rarely,No,4,3,4,4,1,3,11,1,0,8.8,4.9,4.9,4.5,8.8,9.8,6.5,8.1,7.5,6.9,87.9
7,36,Male,Divorced,4,Human Resources,Sales,Sales Executive,3,8176,15,28,0,1,5,3,0,15,Travel_Frequently,Yes,3,3,3,1,4,3,13,1,0,7.0,7.3,6.9,9.2,4.1,7.6,6.9,6.4,7.4,5.9,81.8
8,40,Male,Married,2,Life Sciences,Sales,Sales Executive,2,5669,0,7,0,0,0,0,0,16,Travel_Rarely,Yes,4,4,3,4,3,4,17,0,0,7.1,7.2,8.2,7.1,6.5,4.8,6.3,6.8,9.0,6.5,94.5
9,28,Male,Divorced,5,Medical,Technology,Software Engineer,3,8945,3,9,1,1,0,1,5,8,Travel_Rarely,No,3,4,1,3,3,3,20,1,0,6.2,5.2,4.3,5.8,6.7,8.3,9.2,6.9,7.4,6.3,89.4
10,28,Male,Divorced,2,Medical,Research & Development,Research Scientist,1,2259,3,13,3,1,0,1,0,5,Non-Travel,No,4,1,2,3,3,4,19,0,1,7.3,5.5,7.1,4.6,4.1,2.8,5.5,5.0,6.4,5.0,75.3
